"accession","biosample_acc","length","genome_region","host","country","isolation","collection_date","release_date","name"
"ALH21230","","288","vp30","Suidae","","","","2015/10/10","Sudan ebolavirus isolate Boniface, complete genome"
"ALH21231","","251","vp24","Suidae","","","","2015/10/10","Sudan ebolavirus isolate Boniface, complete genome"
"ALH21232","","2210","L","Suidae","","","","2015/10/10","Sudan ebolavirus isolate Boniface, complete genome"
"ABY75321","","738","NP","Homo sapiens","Sudan","","2004","2008/01/23","Sudan ebolavirus isolate EBOV-S-2004 from Sudan, complete genome"
"ABY75322","","329","vp35","Homo sapiens","Sudan","","2004","2008/01/23","Sudan ebolavirus isolate EBOV-S-2004 from Sudan, complete genome"
"ABY75323","","326","vp40","Homo sapiens","Sudan","","2004","2008/01/23","Sudan ebolavirus isolate EBOV-S-2004 from Sudan, complete genome"
"ABY75324","","372","GP-Small","Homo sapiens","Sudan","","2004","2008/01/23","Sudan ebolavirus isolate EBOV-S-2004 from Sudan, complete genome"
"ABY75325","","676","GP-Spike","Homo sapiens","Sudan","","2004","2008/01/23","Sudan ebolavirus isolate EBOV-S-2004 from Sudan, complete genome"
"ABY75326","","288","vp30","Homo sapiens","Sudan","","2004","2008/01/23","Sudan ebolavirus isolate EBOV-S-2004 from Sudan, complete genome"
"ABY75327","","251","vp24","Homo sapiens","Sudan","","2004","2008/01/23","Sudan ebolavirus isolate EBOV-S-2004 from Sudan, complete genome"
"ABY75328","","2210","L","Homo sapiens","Sudan","","2004","2008/01/23","Sudan ebolavirus isolate EBOV-S-2004 from Sudan, complete genome"
"AGL73422","","738","NP","Homo sapiens","Uganda","blood","2012","2013/05/19","Sudan ebolavirus isolate EboSud-602 2012, complete genome"
"AGL73423","","329","vp35","Homo sapiens","Uganda","blood","2012","2013/05/19","Sudan ebolavirus isolate EboSud-602 2012, complete genome"
"AGL73424","","326","vp40","Homo sapiens","Uganda","blood","2012","2013/05/19","Sudan ebolavirus isolate EboSud-602 2012, complete genome"
"AGL73425","","676","GP-Spike","Homo sapiens","Uganda","blood","2012","2013/05/19","Sudan ebolavirus isolate EboSud-602 2012, complete genome"
"AGL73426","","288","vp30","Homo sapiens","Uganda","blood","2012","2013/05/19","Sudan ebolavirus isolate EboSud-602 2012, complete genome"
"AGL73427","","251","vp24","Homo sapiens","Uganda","blood","2012","2013/05/19","Sudan ebolavirus isolate EboSud-602 2012, complete genome"
"AGL73428","","2210","L","Homo sapiens","Uganda","blood","2012","2013/05/19","Sudan ebolavirus isolate EboSud-602 2012, complete genome"
"AGL73429","","738","NP","Homo sapiens","Uganda","blood","2012","2013/05/19","Sudan ebolavirus isolate EboSud-603 2012, complete genome"
"AGL73430","","329","vp35","Homo sapiens","Uganda","blood","2012","2013/05/19","Sudan ebolavirus isolate EboSud-603 2012, complete genome"
"AGL73431","","326","vp40","Homo sapiens","Uganda","blood","2012","2013/05/19","Sudan ebolavirus isolate EboSud-603 2012, complete genome"
"AGL73432","","676","GP-Spike","Homo sapiens","Uganda","blood","2012","2013/05/19","Sudan ebolavirus isolate EboSud-603 2012, complete genome"
"AGL73433","","288","vp30","Homo sapiens","Uganda","blood","2012","2013/05/19","Sudan ebolavirus isolate EboSud-603 2012, complete genome"
"AGL73434","","251","vp24","Homo sapiens","Uganda","blood","2012","2013/05/19","Sudan ebolavirus isolate EboSud-603 2012, complete genome"
"AGL73435","","2210","L","Homo sapiens","Uganda","blood","2012","2013/05/19","Sudan ebolavirus isolate EboSud-603 2012, complete genome"
"AGL73436","","738","NP","Homo sapiens","Uganda","blood","2012","2013/05/19","Sudan ebolavirus isolate EboSud-609 2012, complete genome"
"AGL73437","","329","vp35","Homo sapiens","Uganda","blood","2012","2013/05/19","Sudan ebolavirus isolate EboSud-609 2012, complete genome"
"AGL73438","","326","vp40","Homo sapiens","Uganda","blood","2012","2013/05/19","Sudan ebolavirus isolate EboSud-609 2012, complete genome"
"AGL73439","","676","GP-Spike","Homo sapiens","Uganda","blood","2012","2013/05/19","Sudan ebolavirus isolate EboSud-609 2012, complete genome"
"AGL73440","","288","vp30","Homo sapiens","Uganda","blood","2012","2013/05/19","Sudan ebolavirus isolate EboSud-609 2012, complete genome"
"AGL73441","","251","vp24","Homo sapiens","Uganda","blood","2012","2013/05/19","Sudan ebolavirus isolate EboSud-609 2012, complete genome"
"AGL73442","","2210","L","Homo sapiens","Uganda","blood","2012","2013/05/19","Sudan ebolavirus isolate EboSud-609 2012, complete genome"
"AGL50925","","738","NP","Homo sapiens","Uganda","blood","2012","2013/05/18","Sudan ebolavirus isolate EboSud-639, complete genome"
"AGL50926","","329","vp35","Homo sapiens","Uganda","blood","2012","2013/05/18","Sudan ebolavirus isolate EboSud-639, complete genome"
"AGL50927","","326","vp40","Homo sapiens","Uganda","blood","2012","2013/05/18","Sudan ebolavirus isolate EboSud-639, complete genome"
"AGL50928","","676","GP-Spike","Homo sapiens","Uganda","blood","2012","2013/05/18","Sudan ebolavirus isolate EboSud-639, complete genome"
"AGL50929","","288","vp30","Homo sapiens","Uganda","blood","2012","2013/05/18","Sudan ebolavirus isolate EboSud-639, complete genome"
"AGL50930","","251","vp24","Homo sapiens","Uganda","blood","2012","2013/05/18","Sudan ebolavirus isolate EboSud-639, complete genome"
"AGL50931","","2210","L","Homo sapiens","Uganda","blood","2012","2013/05/18","Sudan ebolavirus isolate EboSud-639, complete genome"
"AGL73443","","738","NP","Homo sapiens","Uganda","blood","2012","2013/05/19","Sudan ebolavirus isolate EboSud-682 2012, complete genome"
"AGL73444","","329","vp35","Homo sapiens","Uganda","blood","2012","2013/05/19","Sudan ebolavirus isolate EboSud-682 2012, complete genome"
"AGL73445","","326","vp40","Homo sapiens","Uganda","blood","2012","2013/05/19","Sudan ebolavirus isolate EboSud-682 2012, complete genome"
"AGL73446","","676","GP-Spike","Homo sapiens","Uganda","blood","2012","2013/05/19","Sudan ebolavirus isolate EboSud-682 2012, complete genome"
"AGL73447","","288","vp30","Homo sapiens","Uganda","blood","2012","2013/05/19","Sudan ebolavirus isolate EboSud-682 2012, complete genome"
"AGL73448","","251","vp24","Homo sapiens","Uganda","blood","2012","2013/05/19","Sudan ebolavirus isolate EboSud-682 2012, complete genome"
"AGL73449","","2210","L","Homo sapiens","Uganda","blood","2012","2013/05/19","Sudan ebolavirus isolate EboSud-682 2012, complete genome"
"AWK96577","SAMN07796366","738","NP","Homo sapiens","Sudan","blood","1976","2018/05/23","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/Sudan/1976/Boniface-R4142L, complete genome"
"AWK96578","SAMN07796366","329","vp35","Homo sapiens","Sudan","blood","1976","2018/05/23","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/Sudan/1976/Boniface-R4142L, complete genome"
"AWK96579","SAMN07796366","326","vp40","Homo sapiens","Sudan","blood","1976","2018/05/23","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/Sudan/1976/Boniface-R4142L, complete genome"
"AWK96580","SAMN07796366","676","GP-Spike","Homo sapiens","Sudan","blood","1976","2018/05/23","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/Sudan/1976/Boniface-R4142L, complete genome"
"AWK96581","SAMN07796366","372","GP-Small","Homo sapiens","Sudan","blood","1976","2018/05/23","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/Sudan/1976/Boniface-R4142L, complete genome"
"AWK96582","SAMN07796366","318","GP-Second","Homo sapiens","Sudan","blood","1976","2018/05/23","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/Sudan/1976/Boniface-R4142L, complete genome"
"AWK96583","SAMN07796366","288","vp30","Homo sapiens","Sudan","blood","1976","2018/05/23","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/Sudan/1976/Boniface-R4142L, complete genome"
"AWK96584","SAMN07796366","251","vp24","Homo sapiens","Sudan","blood","1976","2018/05/23","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/Sudan/1976/Boniface-R4142L, complete genome"
"AWK96585","SAMN07796366","2210","L","Homo sapiens","Sudan","blood","1976","2018/05/23","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/Sudan/1976/Boniface-R4142L, complete genome"
"AWK96640","SAMN07796352","738","NP","Homo sapiens","Sudan","blood","2004","2018/05/23","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/Sudan/2004/Yambio-HCM/SAV/017, complete genome"
"AWK96641","SAMN07796352","329","vp35","Homo sapiens","Sudan","blood","2004","2018/05/23","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/Sudan/2004/Yambio-HCM/SAV/017, complete genome"
"AWK96642","SAMN07796352","326","vp40","Homo sapiens","Sudan","blood","2004","2018/05/23","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/Sudan/2004/Yambio-HCM/SAV/017, complete genome"
"AWK96643","SAMN07796352","676","GP-Spike","Homo sapiens","Sudan","blood","2004","2018/05/23","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/Sudan/2004/Yambio-HCM/SAV/017, complete genome"
"AWK96644","SAMN07796352","372","GP-Small","Homo sapiens","Sudan","blood","2004","2018/05/23","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/Sudan/2004/Yambio-HCM/SAV/017, complete genome"
"AWK96645","SAMN07796352","318","GP-Second","Homo sapiens","Sudan","blood","2004","2018/05/23","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/Sudan/2004/Yambio-HCM/SAV/017, complete genome"
"AWK96646","SAMN07796352","288","vp30","Homo sapiens","Sudan","blood","2004","2018/05/23","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/Sudan/2004/Yambio-HCM/SAV/017, complete genome"
"AWK96647","SAMN07796352","251","vp24","Homo sapiens","Sudan","blood","2004","2018/05/23","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/Sudan/2004/Yambio-HCM/SAV/017, complete genome"
"AWK96648","SAMN07796352","2210","L","Homo sapiens","Sudan","blood","2004","2018/05/23","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/Sudan/2004/Yambio-HCM/SAV/017, complete genome"
"AKB09533","","738","NP","Homo sapiens","Uganda","","2000/10/01","2015/04/11","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/UGA/2000/Gulu-808892, complete genome"
"AKB09534","","329","vp35","Homo sapiens","Uganda","","2000/10/01","2015/04/11","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/UGA/2000/Gulu-808892, complete genome"
"AKB09535","","326","vp40","Homo sapiens","Uganda","","2000/10/01","2015/04/11","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/UGA/2000/Gulu-808892, complete genome"
"AKB09536","","319","","Homo sapiens","Uganda","","2000/10/01","2015/04/11","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/UGA/2000/Gulu-808892, complete genome"
"AKB09537","","372","GP-Small","Homo sapiens","Uganda","","2000/10/01","2015/04/11","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/UGA/2000/Gulu-808892, complete genome"
"AKB09538","","676","GP-Spike","Homo sapiens","Uganda","","2000/10/01","2015/04/11","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/UGA/2000/Gulu-808892, complete genome"
"AKB09539","","288","vp30","Homo sapiens","Uganda","","2000/10/01","2015/04/11","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/UGA/2000/Gulu-808892, complete genome"
"AKB09540","","251","vp24","Homo sapiens","Uganda","","2000/10/01","2015/04/11","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/UGA/2000/Gulu-808892, complete genome"
"AKB09541","","2210","L","Homo sapiens","Uganda","","2000/10/01","2015/04/11","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/UGA/2000/Gulu-808892, complete genome"
"AWK96586","SAMN07796351","738","NP","Homo sapiens","Uganda","","2000","2018/05/23","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/Uganda/2000/Gulu-200011676, complete genome"
"AWK96587","SAMN07796351","329","vp35","Homo sapiens","Uganda","","2000","2018/05/23","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/Uganda/2000/Gulu-200011676, complete genome"
"AWK96588","SAMN07796351","326","vp40","Homo sapiens","Uganda","","2000","2018/05/23","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/Uganda/2000/Gulu-200011676, complete genome"
"AWK96589","SAMN07796351","676","GP-Spike","Homo sapiens","Uganda","","2000","2018/05/23","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/Uganda/2000/Gulu-200011676, complete genome"
"AWK96590","SAMN07796351","372","GP-Small","Homo sapiens","Uganda","","2000","2018/05/23","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/Uganda/2000/Gulu-200011676, complete genome"
"AWK96591","SAMN07796351","318","GP-Second","Homo sapiens","Uganda","","2000","2018/05/23","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/Uganda/2000/Gulu-200011676, complete genome"
"AWK96592","SAMN07796351","288","vp30","Homo sapiens","Uganda","","2000","2018/05/23","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/Uganda/2000/Gulu-200011676, complete genome"
"AWK96593","SAMN07796351","251","vp24","Homo sapiens","Uganda","","2000","2018/05/23","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/Uganda/2000/Gulu-200011676, complete genome"
"AWK96594","SAMN07796351","2210","L","Homo sapiens","Uganda","","2000","2018/05/23","Sudan ebolavirus isolate Ebola virus/H.sapiens-tc/Uganda/2000/Gulu-200011676, complete genome"
"ABS19980","","257","L","","Uganda","","","2007/10/28","Sudan ebolavirus isolate Gulu 10/2000 L protein (L) gene, partial cds"
"APT69610","SAMN05859707","738","NP","Homo sapiens","Uganda","blood","2000/10","2017/01/15","Sudan ebolavirus isolate IRF0154, partial genome"
"APT69611","SAMN05859707","329","vp35","Homo sapiens","Uganda","blood","2000/10","2017/01/15","Sudan ebolavirus isolate IRF0154, partial genome"
"APT69612","SAMN05859707","326","vp40","Homo sapiens","Uganda","blood","2000/10","2017/01/15","Sudan ebolavirus isolate IRF0154, partial genome"
"APT69613","SAMN05859707","676","GP-Spike","Homo sapiens","Uganda","blood","2000/10","2017/01/15","Sudan ebolavirus isolate IRF0154, partial genome"
"APT69614","SAMN05859707","372","GP-Small","Homo sapiens","Uganda","blood","2000/10","2017/01/15","Sudan ebolavirus isolate IRF0154, partial genome"
"APT69615","SAMN05859707","288","vp30","Homo sapiens","Uganda","blood","2000/10","2017/01/15","Sudan ebolavirus isolate IRF0154, partial genome"
"APT69616","SAMN05859707","251","vp24","Homo sapiens","Uganda","blood","2000/10","2017/01/15","Sudan ebolavirus isolate IRF0154, partial genome"
"APT69617","SAMN05859707","2210","L","Homo sapiens","Uganda","blood","2000/10","2017/01/15","Sudan ebolavirus isolate IRF0154, partial genome"
"APT69550","SAMN05859945","738","NP","Homo sapiens","Uganda","blood","2000/10","2017/01/15","Sudan ebolavirus isolate IRF0207, partial genome"
"APT69551","SAMN05859945","329","vp35","Homo sapiens","Uganda","blood","2000/10","2017/01/15","Sudan ebolavirus isolate IRF0207, partial genome"
"APT69552","SAMN05859945","326","vp40","Homo sapiens","Uganda","blood","2000/10","2017/01/15","Sudan ebolavirus isolate IRF0207, partial genome"
"APT69553","SAMN05859945","676","GP-Spike","Homo sapiens","Uganda","blood","2000/10","2017/01/15","Sudan ebolavirus isolate IRF0207, partial genome"
"APT69554","SAMN05859945","372","GP-Small","Homo sapiens","Uganda","blood","2000/10","2017/01/15","Sudan ebolavirus isolate IRF0207, partial genome"
"APT69555","SAMN05859945","288","vp30","Homo sapiens","Uganda","blood","2000/10","2017/01/15","Sudan ebolavirus isolate IRF0207, partial genome"
"APT69556","SAMN05859945","251","vp24","Homo sapiens","Uganda","blood","2000/10","2017/01/15","Sudan ebolavirus isolate IRF0207, partial genome"
"APT69557","SAMN05859945","2210","L","Homo sapiens","Uganda","blood","2000/10","2017/01/15","Sudan ebolavirus isolate IRF0207, partial genome"
"AGB56675","","738","NP","Homo sapiens","Sudan","","1979","2013/01/07","Sudan ebolavirus isolate SUDV/H.sapiens-tc/SSD/1979/Maleo, complete genome"
"AGB56676","","329","vp35","Homo sapiens","Sudan","","1979","2013/01/07","Sudan ebolavirus isolate SUDV/H.sapiens-tc/SSD/1979/Maleo, complete genome"
"AGB56677","","326","vp40","Homo sapiens","Sudan","","1979","2013/01/07","Sudan ebolavirus isolate SUDV/H.sapiens-tc/SSD/1979/Maleo, complete genome"
"AGB56678","","676","GP-Spike","Homo sapiens","Sudan","","1979","2013/01/07","Sudan ebolavirus isolate SUDV/H.sapiens-tc/SSD/1979/Maleo, complete genome"
"AGB56680","","288","vp30","Homo sapiens","Sudan","","1979","2013/01/07","Sudan ebolavirus isolate SUDV/H.sapiens-tc/SSD/1979/Maleo, complete genome"
"AGB56681","","251","vp24","Homo sapiens","Sudan","","1979","2013/01/07","Sudan ebolavirus isolate SUDV/H.sapiens-tc/SSD/1979/Maleo, complete genome"
"AGB56682","","2210","L","Homo sapiens","Sudan","","1979","2013/01/07","Sudan ebolavirus isolate SUDV/H.sapiens-tc/SSD/1979/Maleo, complete genome"
"AGB56679","","372","GP-Small","Homo sapiens","Sudan","","1979","2013/01/07","Sudan ebolavirus isolate SUDV/H.sapiens-tc/SSD/1979/Maleo, complete genome"
"ALL26372","","738","NP","","Canada","","2015/03/01","2015/11/01","Sudan ebolavirus isolate Sudan virus/C.porcellus-lab/SSD/1976/Nzara-Boneface, complete genome"
"ALL26373","","329","vp35","","Canada","","2015/03/01","2015/11/01","Sudan ebolavirus isolate Sudan virus/C.porcellus-lab/SSD/1976/Nzara-Boneface, complete genome"
"ALL26374","","326","vp40","","Canada","","2015/03/01","2015/11/01","Sudan ebolavirus isolate Sudan virus/C.porcellus-lab/SSD/1976/Nzara-Boneface, complete genome"
"ALL26375","","676","GP-Spike","","Canada","","2015/03/01","2015/11/01","Sudan ebolavirus isolate Sudan virus/C.porcellus-lab/SSD/1976/Nzara-Boneface, complete genome"
"ALL26376","","372","GP-Small","","Canada","","2015/03/01","2015/11/01","Sudan ebolavirus isolate Sudan virus/C.porcellus-lab/SSD/1976/Nzara-Boneface, complete genome"
"ALL26377","","288","vp30","","Canada","","2015/03/01","2015/11/01","Sudan ebolavirus isolate Sudan virus/C.porcellus-lab/SSD/1976/Nzara-Boneface, complete genome"
"ALL26378","","251","vp24","","Canada","","2015/03/01","2015/11/01","Sudan ebolavirus isolate Sudan virus/C.porcellus-lab/SSD/1976/Nzara-Boneface, complete genome"
"ALL26379","","2210","L","","Canada","","2015/03/01","2015/11/01","Sudan ebolavirus isolate Sudan virus/C.porcellus-lab/SSD/1976/Nzara-Boneface, complete genome"
"ALT19776","","738","NP","Homo sapiens","Sudan","","2000/10/16","2015/12/22","Sudan ebolavirus isolate Sudan virus/H. sapiens-tc/SDN/2000/Gulu-200011676, complete genome"
"ALT19777","","329","vp35","Homo sapiens","Sudan","","2000/10/16","2015/12/22","Sudan ebolavirus isolate Sudan virus/H. sapiens-tc/SDN/2000/Gulu-200011676, complete genome"
"ALT19778","","326","vp40","Homo sapiens","Sudan","","2000/10/16","2015/12/22","Sudan ebolavirus isolate Sudan virus/H. sapiens-tc/SDN/2000/Gulu-200011676, complete genome"
"ALT19779","","319","","Homo sapiens","Sudan","","2000/10/16","2015/12/22","Sudan ebolavirus isolate Sudan virus/H. sapiens-tc/SDN/2000/Gulu-200011676, complete genome"
"ALT19780","","372","GP-Small","Homo sapiens","Sudan","","2000/10/16","2015/12/22","Sudan ebolavirus isolate Sudan virus/H. sapiens-tc/SDN/2000/Gulu-200011676, complete genome"
"ALT19781","","676","GP-Spike","Homo sapiens","Sudan","","2000/10/16","2015/12/22","Sudan ebolavirus isolate Sudan virus/H. sapiens-tc/SDN/2000/Gulu-200011676, complete genome"
"ALT19782","","288","vp30","Homo sapiens","Sudan","","2000/10/16","2015/12/22","Sudan ebolavirus isolate Sudan virus/H. sapiens-tc/SDN/2000/Gulu-200011676, complete genome"
"ALT19783","","251","vp24","Homo sapiens","Sudan","","2000/10/16","2015/12/22","Sudan ebolavirus isolate Sudan virus/H. sapiens-tc/SDN/2000/Gulu-200011676, complete genome"
"ALT19784","","2210","L","Homo sapiens","Sudan","","2000/10/16","2015/12/22","Sudan ebolavirus isolate Sudan virus/H. sapiens-tc/SDN/2000/Gulu-200011676, complete genome"
"ACR33187","","738","NP","Tissue culture cells","Sudan","liver,abdominal cavity","1976","2009/05/27","Sudan ebolavirus strain Boniface, complete genome"
"ACR33188","","329","vp35","Tissue culture cells","Sudan","liver,abdominal cavity","1976","2009/05/27","Sudan ebolavirus strain Boniface, complete genome"
"ACR33189","","326","vp40","Tissue culture cells","Sudan","liver,abdominal cavity","1976","2009/05/27","Sudan ebolavirus strain Boniface, complete genome"
"ACR33190","","676","GP-Spike","Tissue culture cells","Sudan","liver,abdominal cavity","1976","2009/05/27","Sudan ebolavirus strain Boniface, complete genome"
"ACR33191","","372","GP-Small","Tissue culture cells","Sudan","liver,abdominal cavity","1976","2009/05/27","Sudan ebolavirus strain Boniface, complete genome"
"ACR33192","","288","vp30","Tissue culture cells","Sudan","liver,abdominal cavity","1976","2009/05/27","Sudan ebolavirus strain Boniface, complete genome"
"ACR33193","","251","vp24","Tissue culture cells","Sudan","liver,abdominal cavity","1976","2009/05/27","Sudan ebolavirus strain Boniface, complete genome"
"ACR33194","","2210","L","Tissue culture cells","Sudan","liver,abdominal cavity","1976","2009/05/27","Sudan ebolavirus strain Boniface, complete genome"
"AAP88030","","372","GP-Small","","Uganda","","","2003/07/16","Sudan ebolavirus strain Gulu structural glycoprotein and secreted glycoprotein genes, complete cds"
"AAP88031","","676","GP-Spike","","Uganda","","","2003/07/16","Sudan ebolavirus strain Gulu structural glycoprotein and secreted glycoprotein genes, complete cds"
"AAR11463","","676","GP-Spike","","","","","2003/11/03","Sudan ebolavirus strain Gulu virion spike glycoprotein precursor (GP) and small/secreted glycoprotein (SGP) genes, complete cds"
"AAR11464","","372","GP-Small","","","","","2003/11/03","Sudan ebolavirus strain Gulu virion spike glycoprotein precursor (GP) and small/secreted glycoprotein (SGP) genes, complete cds"
"AAU43883","","738","NP","Homo sapiens","Uganda","","2000","2004/09/25","Sudan ebolavirus strain Gulu, complete genome"
"AAU43884","","329","vp35","Homo sapiens","Uganda","","2000","2004/09/25","Sudan ebolavirus strain Gulu, complete genome"
"AAU43885","","326","vp40","Homo sapiens","Uganda","","2000","2004/09/25","Sudan ebolavirus strain Gulu, complete genome"
"AAU43886","","372","GP-Small","Homo sapiens","Uganda","","2000","2004/09/25","Sudan ebolavirus strain Gulu, complete genome"
"AAU43887","","676","GP-Spike","Homo sapiens","Uganda","","2000","2004/09/25","Sudan ebolavirus strain Gulu, complete genome"
"AAU43888","","288","vp30","Homo sapiens","Uganda","","2000","2004/09/25","Sudan ebolavirus strain Gulu, complete genome"
"AAU43889","","251","vp24","Homo sapiens","Uganda","","2000","2004/09/25","Sudan ebolavirus strain Gulu, complete genome"
"AAU43890","","2210","L","Homo sapiens","Uganda","","2000","2004/09/25","Sudan ebolavirus strain Gulu, complete genome"
