"accession","biosample_acc","length","genome_region","host","country","isolation","collection_date","release_date","name"
"AII25372","","80","L","Homo sapiens","Nigeria","blood","2014/07/22","2014/08/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-frag/NGA/2014/Makona-01072014 RNA-dependent RNA polymerase (L) gene, partial cds"
"AWK96613","SAMN07796347","739","NP","Homo sapiens","Democratic Republic of the Congo","blood","1976","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1976/Yambuku-Mayinga, complete genome"
"AWK96614","SAMN07796347","340","vp35","Homo sapiens","Democratic Republic of the Congo","blood","1976","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1976/Yambuku-Mayinga, complete genome"
"AWK96615","SAMN07796347","326","vp40","Homo sapiens","Democratic Republic of the Congo","blood","1976","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1976/Yambuku-Mayinga, complete genome"
"AWK96616","SAMN07796347","676","GP-Spike","Homo sapiens","Democratic Republic of the Congo","blood","1976","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1976/Yambuku-Mayinga, complete genome"
"AWK96617","SAMN07796347","364","GP-Small","Homo sapiens","Democratic Republic of the Congo","blood","1976","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1976/Yambuku-Mayinga, complete genome"
"AWK96618","SAMN07796347","297","GP-Second","Homo sapiens","Democratic Republic of the Congo","blood","1976","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1976/Yambuku-Mayinga, complete genome"
"AWK96619","SAMN07796347","288","vp30","Homo sapiens","Democratic Republic of the Congo","blood","1976","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1976/Yambuku-Mayinga, complete genome"
"AWK96620","SAMN07796347","251","vp24","Homo sapiens","Democratic Republic of the Congo","blood","1976","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1976/Yambuku-Mayinga, complete genome"
"AWK96621","SAMN07796347","2212","L","Homo sapiens","Democratic Republic of the Congo","blood","1976","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1976/Yambuku-Mayinga, complete genome"
"AWK96595","SAMN07796350","739","NP","Homo sapiens","Democratic Republic of the Congo","blood","1995","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1995/Kikwit-9510621, complete genome"
"AWK96596","SAMN07796350","340","vp35","Homo sapiens","Democratic Republic of the Congo","blood","1995","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1995/Kikwit-9510621, complete genome"
"AWK96597","SAMN07796350","326","vp40","Homo sapiens","Democratic Republic of the Congo","blood","1995","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1995/Kikwit-9510621, complete genome"
"AWK96598","SAMN07796350","676","GP-Spike","Homo sapiens","Democratic Republic of the Congo","blood","1995","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1995/Kikwit-9510621, complete genome"
"AWK96599","SAMN07796350","364","GP-Small","Homo sapiens","Democratic Republic of the Congo","blood","1995","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1995/Kikwit-9510621, complete genome"
"AWK96600","SAMN07796350","297","GP-Second","Homo sapiens","Democratic Republic of the Congo","blood","1995","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1995/Kikwit-9510621, complete genome"
"AWK96601","SAMN07796350","288","vp30","Homo sapiens","Democratic Republic of the Congo","blood","1995","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1995/Kikwit-9510621, complete genome"
"AWK96602","SAMN07796350","251","vp24","Homo sapiens","Democratic Republic of the Congo","blood","1995","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1995/Kikwit-9510621, complete genome"
"AWK96603","SAMN07796350","2212","L","Homo sapiens","Democratic Republic of the Congo","blood","1995","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1995/Kikwit-9510621, complete genome"
"AWK96604","SAMN07796349","739","NP","Homo sapiens","Democratic Republic of the Congo","blood","1995","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1995/Kikwit-9510621, complete genome"
"AWK96605","SAMN07796349","340","vp35","Homo sapiens","Democratic Republic of the Congo","blood","1995","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1995/Kikwit-9510621, complete genome"
"AWK96606","SAMN07796349","326","vp40","Homo sapiens","Democratic Republic of the Congo","blood","1995","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1995/Kikwit-9510621, complete genome"
"AWK96607","SAMN07796349","676","GP-Spike","Homo sapiens","Democratic Republic of the Congo","blood","1995","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1995/Kikwit-9510621, complete genome"
"AWK96608","SAMN07796349","364","GP-Small","Homo sapiens","Democratic Republic of the Congo","blood","1995","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1995/Kikwit-9510621, complete genome"
"AWK96609","SAMN07796349","297","GP-Second","Homo sapiens","Democratic Republic of the Congo","blood","1995","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1995/Kikwit-9510621, complete genome"
"AWK96610","SAMN07796349","288","vp30","Homo sapiens","Democratic Republic of the Congo","blood","1995","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1995/Kikwit-9510621, complete genome"
"AWK96611","SAMN07796349","251","vp24","Homo sapiens","Democratic Republic of the Congo","blood","1995","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1995/Kikwit-9510621, complete genome"
"AWK96612","SAMN07796349","2212","L","Homo sapiens","Democratic Republic of the Congo","blood","1995","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1995/Kikwit-9510621, complete genome"
"ATY51141","SAMN05364094","739","NP","Homo sapiens","Democratic Republic of the Congo","blood","1995/05/04","2018/12/05","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1995/Kikwit-9510621, complete genome"
"ATY51142","SAMN05364094","340","vp35","Homo sapiens","Democratic Republic of the Congo","blood","1995/05/04","2018/12/05","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1995/Kikwit-9510621, complete genome"
"ATY51143","SAMN05364094","326","vp40","Homo sapiens","Democratic Republic of the Congo","blood","1995/05/04","2018/12/05","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1995/Kikwit-9510621, complete genome"
"ATY51144","SAMN05364094","676","GP-Spike","Homo sapiens","Democratic Republic of the Congo","blood","1995/05/04","2018/12/05","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1995/Kikwit-9510621, complete genome"
"ATY51145","SAMN05364094","364","GP-Small","Homo sapiens","Democratic Republic of the Congo","blood","1995/05/04","2018/12/05","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1995/Kikwit-9510621, complete genome"
"ATY51146","SAMN05364094","297","GP-Second","Homo sapiens","Democratic Republic of the Congo","blood","1995/05/04","2018/12/05","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1995/Kikwit-9510621, complete genome"
"ATY51147","SAMN05364094","288","vp30","Homo sapiens","Democratic Republic of the Congo","blood","1995/05/04","2018/12/05","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1995/Kikwit-9510621, complete genome"
"ATY51148","SAMN05364094","251","vp24","Homo sapiens","Democratic Republic of the Congo","blood","1995/05/04","2018/12/05","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1995/Kikwit-9510621, complete genome"
"ATY51149","SAMN05364094","2212","L","Homo sapiens","Democratic Republic of the Congo","blood","1995/05/04","2018/12/05","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1995/Kikwit-9510621, complete genome"
"ALO75886","","739","NP","Homo sapiens","Italy","blood","2015/05","2015/11/24","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/ITA/2015/Makona-INMI2, partial genome"
"ALO75887","","340","vp35","Homo sapiens","Italy","blood","2015/05","2015/11/24","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/ITA/2015/Makona-INMI2, partial genome"
"ALO75888","","326","vp40","Homo sapiens","Italy","blood","2015/05","2015/11/24","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/ITA/2015/Makona-INMI2, partial genome"
"ALO75889","","676","GP-Spike","Homo sapiens","Italy","blood","2015/05","2015/11/24","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/ITA/2015/Makona-INMI2, partial genome"
"ALO75890","","364","GP-Small","Homo sapiens","Italy","blood","2015/05","2015/11/24","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/ITA/2015/Makona-INMI2, partial genome"
"ALO75891","","297","GP-Second","Homo sapiens","Italy","blood","2015/05","2015/11/24","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/ITA/2015/Makona-INMI2, partial genome"
"ALO75892","","288","vp30","Homo sapiens","Italy","blood","2015/05","2015/11/24","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/ITA/2015/Makona-INMI2, partial genome"
"ALO75893","","251","vp24","Homo sapiens","Italy","blood","2015/05","2015/11/24","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/ITA/2015/Makona-INMI2, partial genome"
"ALO75894","","2212","L","Homo sapiens","Italy","blood","2015/05","2015/11/24","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/ITA/2015/Makona-INMI2, partial genome"
"AJF38892","","739","NP","Homo sapiens","Italy","blood","2014/11/25","2015/02/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/SLE/2014/Makona-Italy-INMI1, complete genome"
"AJF38893","","340","vp35","Homo sapiens","Italy","blood","2014/11/25","2015/02/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/SLE/2014/Makona-Italy-INMI1, complete genome"
"AJF38894","","326","vp40","Homo sapiens","Italy","blood","2014/11/25","2015/02/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/SLE/2014/Makona-Italy-INMI1, complete genome"
"AJF38895","","676","GP-Spike","Homo sapiens","Italy","blood","2014/11/25","2015/02/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/SLE/2014/Makona-Italy-INMI1, complete genome"
"AJF38896","","364","GP-Small","Homo sapiens","Italy","blood","2014/11/25","2015/02/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/SLE/2014/Makona-Italy-INMI1, complete genome"
"AJF38897","","297","GP-Second","Homo sapiens","Italy","blood","2014/11/25","2015/02/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/SLE/2014/Makona-Italy-INMI1, complete genome"
"AJF38898","","288","vp30","Homo sapiens","Italy","blood","2014/11/25","2015/02/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/SLE/2014/Makona-Italy-INMI1, complete genome"
"AJF38899","","251","vp24","Homo sapiens","Italy","blood","2014/11/25","2015/02/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/SLE/2014/Makona-Italy-INMI1, complete genome"
"AJF38900","","2212","L","Homo sapiens","Italy","blood","2014/11/25","2015/02/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/SLE/2014/Makona-Italy-INMI1, complete genome"
"AWK96568","SAMN07796371","739","NP","Homo sapiens","Sierra Leone","blood","2014","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/Sierra Leone/2014/Makona-SLE 3864-1-R4491, partial genome"
"AWK96569","SAMN07796371","340","vp35","Homo sapiens","Sierra Leone","blood","2014","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/Sierra Leone/2014/Makona-SLE 3864-1-R4491, partial genome"
"AWK96570","SAMN07796371","326","vp40","Homo sapiens","Sierra Leone","blood","2014","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/Sierra Leone/2014/Makona-SLE 3864-1-R4491, partial genome"
"AWK96571","SAMN07796371","676","GP-Spike","Homo sapiens","Sierra Leone","blood","2014","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/Sierra Leone/2014/Makona-SLE 3864-1-R4491, partial genome"
"AWK96572","SAMN07796371","364","GP-Small","Homo sapiens","Sierra Leone","blood","2014","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/Sierra Leone/2014/Makona-SLE 3864-1-R4491, partial genome"
"AWK96573","SAMN07796371","297","GP-Second","Homo sapiens","Sierra Leone","blood","2014","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/Sierra Leone/2014/Makona-SLE 3864-1-R4491, partial genome"
"AWK96574","SAMN07796371","288","vp30","Homo sapiens","Sierra Leone","blood","2014","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/Sierra Leone/2014/Makona-SLE 3864-1-R4491, partial genome"
"AWK96575","SAMN07796371","251","vp24","Homo sapiens","Sierra Leone","blood","2014","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/Sierra Leone/2014/Makona-SLE 3864-1-R4491, partial genome"
"AWK96576","SAMN07796371","2212","L","Homo sapiens","Sierra Leone","blood","2014","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/Sierra Leone/2014/Makona-SLE 3864-1-R4491, partial genome"
"AWK96631","SAMN07796365","739","NP","Homo sapiens","Democratic Republic of the Congo","blood","1976","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/Zaire/1976/Mayinga-R3816, complete genome"
"AWK96632","SAMN07796365","340","vp35","Homo sapiens","Democratic Republic of the Congo","blood","1976","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/Zaire/1976/Mayinga-R3816, complete genome"
"AWK96633","SAMN07796365","326","vp40","Homo sapiens","Democratic Republic of the Congo","blood","1976","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/Zaire/1976/Mayinga-R3816, complete genome"
"AWK96634","SAMN07796365","676","GP-Spike","Homo sapiens","Democratic Republic of the Congo","blood","1976","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/Zaire/1976/Mayinga-R3816, complete genome"
"AWK96635","SAMN07796365","364","GP-Small","Homo sapiens","Democratic Republic of the Congo","blood","1976","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/Zaire/1976/Mayinga-R3816, complete genome"
"AWK96636","SAMN07796365","297","GP-Second","Homo sapiens","Democratic Republic of the Congo","blood","1976","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/Zaire/1976/Mayinga-R3816, complete genome"
"AWK96637","SAMN07796365","288","vp30","Homo sapiens","Democratic Republic of the Congo","blood","1976","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/Zaire/1976/Mayinga-R3816, complete genome"
"AWK96638","SAMN07796365","251","vp24","Homo sapiens","Democratic Republic of the Congo","blood","1976","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/Zaire/1976/Mayinga-R3816, complete genome"
"AWK96639","SAMN07796365","2212","L","Homo sapiens","Democratic Republic of the Congo","blood","1976","2018/05/23","Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/Zaire/1976/Mayinga-R3816, complete genome"
"ASV62236","","739","NP","Homo sapiens","Sierra Leone","blood","2015/03/21","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC10_Patient7_Day14, complete genome"
"ASV62237","","340","vp35","Homo sapiens","Sierra Leone","blood","2015/03/21","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC10_Patient7_Day14, complete genome"
"ASV62238","","326","vp40","Homo sapiens","Sierra Leone","blood","2015/03/21","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC10_Patient7_Day14, complete genome"
"ASV62239","","676","GP-Spike","Homo sapiens","Sierra Leone","blood","2015/03/21","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC10_Patient7_Day14, complete genome"
"ASV62240","","364","GP-Small","Homo sapiens","Sierra Leone","blood","2015/03/21","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC10_Patient7_Day14, complete genome"
"ASV62241","","297","GP-Second","Homo sapiens","Sierra Leone","blood","2015/03/21","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC10_Patient7_Day14, complete genome"
"ASV62242","","288","vp30","Homo sapiens","Sierra Leone","blood","2015/03/21","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC10_Patient7_Day14, complete genome"
"ASV62243","","251","vp24","Homo sapiens","Sierra Leone","blood","2015/03/21","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC10_Patient7_Day14, complete genome"
"ASV62244","","2212","L","Homo sapiens","Sierra Leone","blood","2015/03/21","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC10_Patient7_Day14, complete genome"
"ASV62252","","340","vp35","Homo sapiens","Sierra Leone","blood","2015/03/24","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC11_Patient7_Day17, partial genome"
"ASV62253","","326","vp40","Homo sapiens","Sierra Leone","blood","2015/03/24","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC11_Patient7_Day17, partial genome"
"ASV62254","","676","GP-Spike","Homo sapiens","Sierra Leone","blood","2015/03/24","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC11_Patient7_Day17, partial genome"
"ASV62255","","288","vp30","Homo sapiens","Sierra Leone","blood","2015/03/24","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC11_Patient7_Day17, partial genome"
"ASV62256","","251","vp24","Homo sapiens","Sierra Leone","blood","2015/03/24","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC11_Patient7_Day17, partial genome"
"ASV62257","","2212","L","Homo sapiens","Sierra Leone","blood","2015/03/24","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC11_Patient7_Day17, partial genome"
"ASV62258","","382","NP","Homo sapiens","Sierra Leone","blood","2015/03/24","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC11_Patient7_Day17, partial genome"
"ASV62122","","739","NP","Homo sapiens","Sierra Leone","blood","2015/03/17","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC12_Patient8_Day4, complete genome"
"ASV62123","","340","vp35","Homo sapiens","Sierra Leone","blood","2015/03/17","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC12_Patient8_Day4, complete genome"
"ASV62124","","326","vp40","Homo sapiens","Sierra Leone","blood","2015/03/17","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC12_Patient8_Day4, complete genome"
"ASV62125","","676","GP-Spike","Homo sapiens","Sierra Leone","blood","2015/03/17","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC12_Patient8_Day4, complete genome"
"ASV62126","","364","GP-Small","Homo sapiens","Sierra Leone","blood","2015/03/17","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC12_Patient8_Day4, complete genome"
"ASV62127","","297","GP-Second","Homo sapiens","Sierra Leone","blood","2015/03/17","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC12_Patient8_Day4, complete genome"
"ASV62128","","288","vp30","Homo sapiens","Sierra Leone","blood","2015/03/17","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC12_Patient8_Day4, complete genome"
"ASV62129","","251","vp24","Homo sapiens","Sierra Leone","blood","2015/03/17","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC12_Patient8_Day4, complete genome"
"ASV62130","","2212","L","Homo sapiens","Sierra Leone","blood","2015/03/17","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC12_Patient8_Day4, complete genome"
"ASV62259","","739","NP","Homo sapiens","Sierra Leone","blood","2015/03/30","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC13_Patient9_Day2, complete genome"
"ASV62260","","340","vp35","Homo sapiens","Sierra Leone","blood","2015/03/30","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC13_Patient9_Day2, complete genome"
"ASV62261","","326","vp40","Homo sapiens","Sierra Leone","blood","2015/03/30","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC13_Patient9_Day2, complete genome"
"ASV62262","","676","GP-Spike","Homo sapiens","Sierra Leone","blood","2015/03/30","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC13_Patient9_Day2, complete genome"
"ASV62263","","364","GP-Small","Homo sapiens","Sierra Leone","blood","2015/03/30","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC13_Patient9_Day2, complete genome"
"ASV62264","","297","GP-Second","Homo sapiens","Sierra Leone","blood","2015/03/30","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC13_Patient9_Day2, complete genome"
"ASV62265","","288","vp30","Homo sapiens","Sierra Leone","blood","2015/03/30","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC13_Patient9_Day2, complete genome"
"ASV62266","","251","vp24","Homo sapiens","Sierra Leone","blood","2015/03/30","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC13_Patient9_Day2, complete genome"
"ASV62267","","2212","L","Homo sapiens","Sierra Leone","blood","2015/03/30","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC13_Patient9_Day2, complete genome"
"ASV62149","","739","NP","Homo sapiens","Sierra Leone","blood","2015/04/11","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC14_Patient10_Day2, complete genome"
"ASV62150","","340","vp35","Homo sapiens","Sierra Leone","blood","2015/04/11","2018/01/01","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/CCDC/2015/sierra leone/IVDC14_Patient10_Day2, complete genome"
